Year Total	Male	Female
1970			
 0-4	11997636.000000	6085157.000000	5912479.000000
 5-9	9534428.000000	4845253.000000	4689175.000000
 10-14 	7679841.000000	3895268.000000	3784573.000000
 15-19 	5977139.000000	3019134.000000	2958005.000000
 20-24 	5246819.000000	2662145.000000	2584674.000000
 25-29 	4611436.000000	2350371.000000	2261065.000000
 30-34 	4045656.000000	2086103.000000	1959553.000000
 35-39 	3511427.000000	1818336.000000	1693091.000000
 40-44 	2985571.000000	1536172.000000	1449399.000000
 45-49 	2534817.000000	1313489.000000	1221328.000000
 50-54 	2104318.000000	1107568.000000	996750.000000
 55-59 	1718936.000000	920937.000000	797999.000000
 60-64 	1315293.000000	728989.000000	586304.000000
 65-69 	915188.000000	504443.000000	410745.000000
 70-74 	530123.000000	287966.000000	242157.000000
 75-79 	240804.000000	131523.000000	109281.000000
 80+ 	99269.000000	52097.000000	47172.000000
Total	65048700.000000	33344952.000000	31703750.000000
1971			
 0-4	12070642.000000	6127674.500000	5942967.000000
 5-9	9832792.000000	4995268.000000	4837524.500000
 10-14 	7944656.000000	4028974.250000	3915682.000000
 15-19 	5958481.000000	3002347.500000	2956133.500000
 20-24 	5190045.000000	2623015.000000	2567030.000000
 25-29 	4695929.500000	2388430.500000	2307499.250000
 30-34 	4141031.750000	2130667.000000	2010364.750000
 35-39 	3602884.000000	1865966.750000	1736917.250000
 40-44 	3066634.250000	1579152.625000	1487481.625000
 45-49 	2601506.750000	1344899.875000	1256606.750000
 50-54 	2162953.250000	1134576.875000	1028376.500000
 55-59 	1769382.750000	943669.437500	825713.312500
 60-64 	1354413.375000	747243.125000	607170.250000
 65-69 	947271.687500	523961.031250	423310.625000
 70-74 	554598.000000	302140.562500	252457.437500
 75-79 	253999.843750	138256.812500	115743.031250
 80+ 	104397.718750	54876.625000	49521.097656
Total	66251620.000000	33931120.000000	32320498.000000
1972			
 0-4	12085676.000000	6142377.500000	5943298.500000
 5-9	10112454.000000	5134025.500000	4978428.000000
 10-14 	8210718.000000	4163286.250000	4047431.750000
 15-19 	5994602.500000	3014683.250000	2979919.000000
 20-24 	5070743.000000	2550129.000000	2520613.750000
 25-29 	4765276.500000	2418902.250000	2346374.250000
 30-34 	4238913.000000	2175472.250000	2063440.375000
 35-39 	3694249.500000	1912569.250000	1781680.125000
 40-44 	3152464.250000	1625865.500000	1526598.625000
 45-49 	2667889.000000	1376261.125000	1291628.000000
 50-54 	2224441.500000	1162862.000000	1061579.625000
 55-59 	1818665.750000	966574.125000	852091.687500
 60-64 	1396568.625000	765310.687500	631258.000000
 65-69 	978411.125000	543151.187500	435259.937500
 70-74 	580610.312500	317315.093750	263295.218750
 75-79 	267620.250000	145109.781250	122510.460938
 80+ 	109956.625000	57889.414063	52067.214844
Total	67369256.000000	34471784.000000	32897474.000000
1973			
 0-4	12097590.000000	6155857.500000	5941732.500000
 5-9	10394581.000000	5272432.000000	5122148.500000
 10-14 	8489844.000000	4304865.000000	4184979.250000
 15-19 	6147439.000000	3089238.500000	3058200.500000
 20-24 	4936747.000000	2470715.250000	2466032.000000
 25-29 	4806537.500000	2434707.500000	2371830.000000
 30-34 	4333292.000000	2216950.250000	2116341.750000
 35-39 	3785715.000000	1957897.375000	1827817.750000
 40-44 	3239737.250000	1674196.250000	1565541.000000
 45-49 	2732952.000000	1407701.875000	1325250.000000
 50-54 	2286055.500000	1191441.375000	1094614.000000
 55-59 	1866321.000000	989231.625000	877089.375000
 60-64 	1439869.375000	783225.750000	656643.687500
 65-69 	1008286.312500	561336.500000	446949.843750
 70-74 	606869.250000	332799.437500	274069.843750
 75-79 	281538.625000	152244.109375	129294.523438
 80+ 	116030.734375	61130.531250	54900.199219
Total	68569408.000000	35055972.000000	33513434.000000
1974			
 0-4	12181635.000000	6205520.000000	5976115.000000
 5-9	10655335.000000	5398662.000000	5256673.000000
 10-14 	8794156.000000	4460101.000000	4334055.500000
 15-19 	6434416.000000	3235426.500000	3198989.500000
 20-24 	4851665.000000	2420350.750000	2431314.500000
 25-29 	4805864.500000	2428395.500000	2377469.000000
 30-34 	4413054.000000	2248904.750000	2164149.250000
 35-39 	3877563.500000	2001531.500000	1876032.125000
 40-44 	3323928.250000	1721095.750000	1602832.500000
 45-49 	2795183.000000	1439365.750000	1355817.250000
 50-54 	2343358.500000	1218585.250000	1124773.250000
 55-59 	1912079.875000	1011148.875000	900930.937500
 60-64 	1481079.500000	800706.687500	680372.812500
 65-69 	1036426.187500	577578.875000	458847.343750
 70-74 	631546.562500	347663.531250	283883.000000
 75-79 	295614.750000	159802.390625	135812.343750
 80+ 	122763.453125	64622.937500	58140.519531
Total	69955672.000000	35739464.000000	34216208.000000
1975			
 0-4	12489033.000000	6367863.000000	6121170.000000
 5-9	10763774.000000	5448522.000000	5315251.500000
 10-14 	9135860.000000	4635182.500000	4500677.500000
 15-19 	6862723.000000	3457031.250000	3405691.750000
 20-24 	4886573.500000	2436533.750000	2450039.500000
 25-29 	4776810.500000	2407243.500000	2369567.000000
 30-34 	4476011.500000	2271963.000000	2204048.500000
 35-39 	3970498.500000	2043364.500000	1927134.125000
 40-44 	3407541.000000	1766694.750000	1640846.000000
 45-49 	2857884.500000	1472927.000000	1384957.625000
 50-54 	2397505.750000	1244670.250000	1152835.625000
 55-59 	1958342.250000	1033090.375000	925251.750000
 60-64 	1520788.500000	818426.062500	702362.500000
 65-69 	1064251.375000	592170.937500	472080.437500
 70-74 	654576.500000	361770.781250	292805.687500
 75-79 	309856.656250	167831.593750	142025.062500
 80+ 	130117.312500	68356.414063	61760.902344
Total	71662144.000000	36593644.000000	35068504.000000
1976			
 0-4	12793826.000000	6516246.000000	6277579.500000
 5-9	10922867.000000	5536234.000000	5386632.500000
 10-14 	9488326.000000	4814923.500000	4673402.000000
 15-19 	7349639.000000	3710174.250000	3639464.500000
 20-24 	5043232.500000	2519172.250000	2524060.250000
 25-29 	4720164.500000	2372594.000000	2347570.500000
 30-34 	4514846.000000	2282074.250000	2232771.750000
 35-39 	4061671.000000	2081828.750000	1979842.250000
 40-44 	3490523.000000	1810965.875000	1679557.000000
 45-49 	2918830.250000	1507153.875000	1411676.375000
 50-54 	2446857.750000	1268785.250000	1178072.375000
 55-59 	2003577.125000	1054480.625000	949096.500000
 60-64 	1557450.750000	835351.750000	722099.062500
 65-69 	1091395.375000	605153.875000	486241.500000
 70-74 	675628.375000	374931.093750	300697.250000
 75-79 	324230.906250	176163.062500	148067.859375
 80+ 	137832.125000	72250.500000	65581.632813
Total	73540896.000000	37538484.000000	36002412.000000
1977			
 0-4	13133078.000000	6680521.000000	6452557.000000
 5-9	11068640.000000	5621283.000000	5447358.000000
 10-14 	9840545.000000	4992626.500000	4847919.000000
 15-19 	7831432.500000	3960911.500000	3870521.000000
 20-24 	5335930.500000	2674226.000000	2661704.500000
 25-29 	4644136.500000	2329213.750000	2314922.500000
 30-34 	4533690.500000	2282809.250000	2250881.250000
 35-39 	4148641.000000	2115914.750000	2032726.125000
 40-44 	3574977.250000	1854416.750000	1720560.500000
 45-49 	2979888.500000	1542581.625000	1437306.875000
 50-54 	2492246.500000	1290788.625000	1201457.750000
 55-59 	2048529.750000	1075529.375000	973000.375000
 60-64 	1591407.500000	851354.562500	740053.000000
 65-69 	1118741.625000	616811.187500	501930.437500
 70-74 	695021.562500	387305.156250	307716.406250
 75-79 	338875.718750	184738.078125	154137.640625
 80+ 	145748.281250	76244.343750	69503.945313
Total	75521528.000000	38537276.000000	36984256.000000
1978			
 0-4	13470106.000000	6845581.000000	6624525.000000
 5-9	11212780.000000	5706858.500000	5505921.500000
 10-14 	10188349.000000	5165864.000000	5022485.500000
 15-19 	8269356.000000	4188454.500000	4080901.500000
 20-24 	5743592.000000	2889458.750000	2854133.250000
 25-29 	4581645.500000	2296399.250000	2285246.500000
 30-34 	4537182.500000	2279137.250000	2258045.250000
 35-39 	4230132.000000	2146704.250000	2083427.625000
 40-44 	3661526.500000	1896810.375000	1764716.000000
 45-49 	3041362.000000	1578171.000000	1463190.750000
