Year Total	Male	Female
1970			
 0-4	1611754.000000	823045.000000	788709.000000
 5-9	1278675.000000	654426.000000	624249.000000
 10-14 	1031179.000000	529260.000000	501919.000000
 15-19 	834229.000000	428929.000000	405300.000000
 20-24 	772533.000000	398493.000000	374040.000000
 25-29 	631317.000000	323632.000000	307685.000000
 30-34 	524566.000000	268306.000000	256260.000000
 35-39 	438472.000000	223704.000000	214768.000000
 40-44 	365967.000000	185768.000000	180199.000000
 45-49 	304036.000000	153023.000000	151013.000000
 50-54 	246643.000000	122719.000000	123924.000000
 55-59 	196014.000000	96031.000000	99983.000000
 60-64 	148418.000000	71544.000000	76874.000000
 65-69 	103435.000000	48945.000000	54490.000000
 70-74 	63896.000000	29682.000000	34214.000000
 75-79 	31704.000000	14525.000000	17179.000000
 80+ 	14139.000000	6375.000000	7764.000000
Total	8596977.000000	4378407.000000	4218570.000000
1971			
 0-4	1649211.125000	841129.687500	808081.437500
 5-9	1325207.000000	678072.812500	647134.125000
 10-14 	1070317.000000	549160.687500	521156.312500
 15-19 	855413.250000	439664.031250	415749.187500
 20-24 	780893.687500	402683.125000	378210.531250
 25-29 	652977.187500	335157.156250	317820.062500
 30-34 	538279.625000	275371.593750	262908.000000
 35-39 	449581.562500	229474.515625	220107.046875
 40-44 	374972.156250	190425.562500	184546.578125
 45-49 	311718.406250	156958.890625	154759.515625
 50-54 	253270.109375	126085.601563	127184.507813
 55-59 	201293.265625	98655.312500	102637.945313
 60-64 	152704.718750	73614.195313	79090.515625
 65-69 	106774.304688	50539.972656	56234.335938
 70-74 	65990.203125	30638.712891	35351.492188
 75-79 	32958.664063	15056.809570	17901.855469
 80+ 	14742.558594	6624.321777	8118.236816
Total	8836305.000000	4499313.000000	4336991.500000
1972			
 0-4	1685063.125000	858264.000000	826799.125000
 5-9	1373112.500000	702401.500000	670711.062500
 10-14 	1110204.875000	569388.937500	540816.000000
 15-19 	885617.625000	455118.750000	430498.875000
 20-24 	783091.500000	403478.187500	379613.343750
 25-29 	677995.125000	348523.125000	329472.031250
 30-34 	552233.312500	282528.468750	269704.812500
 35-39 	461304.250000	235546.359375	225757.875000
 40-44 	384502.781250	195355.250000	189147.531250
 45-49 	319547.968750	160974.281250	158573.687500
 50-54 	260311.281250	129647.234375	130664.031250
 55-59 	206711.984375	101363.187500	105348.796875
 60-64 	157150.203125	75751.031250	81399.164063
 65-69 	110270.796875	52205.304688	58065.492188
 70-74 	68174.710938	31639.972656	36534.738281
 75-79 	34290.609375	15622.983398	18667.626953
 80+ 	15365.606445	6876.619141	8488.987305
Total	9084948.000000	4624685.000000	4460263.000000
1973			
 0-4	1718799.875000	874329.125000	844470.812500
 5-9	1419554.125000	725928.187500	693625.937500
 10-14 	1150103.625000	589591.687500	560512.000000
 15-19 	921548.687500	473550.718750	447998.000000
 20-24 	782635.062500	402798.437500	379836.656250
 25-29 	702812.312500	361786.750000	341025.562500
 30-34 	566582.187500	289913.312500	276668.843750
 35-39 	473182.125000	241684.593750	231497.546875
 40-44 	394159.062500	200356.937500	193802.125000
 45-49 	327272.562500	164940.109375	162332.453125
 50-54 	267421.531250	133238.031250	134183.500000
 55-59 	212116.031250	104076.343750	108039.687500
 60-64 	161611.062500	77892.882813	83718.179688
 65-69 	113774.343750	53870.621094	59903.718750
 70-74 	70406.578125	32666.722656	37739.855469
 75-79 	35631.507813	16195.238281	19436.271484
 80+ 	16007.998047	7134.562500	8873.435547
Total	9333619.000000	4749954.000000	4583664.500000
1974			
 0-4	1753024.750000	890894.375000	862130.375000
 5-9	1458477.000000	745411.875000	713065.125000
 10-14 	1189825.125000	609708.812500	580116.250000
 15-19 	958171.687500	492299.062500	465872.625000
 20-24 	785449.000000	403851.218750	381597.750000
 25-29 	722377.562500	372188.968750	350188.593750
 30-34 	581923.437500	297909.718750	284013.718750
 35-39 	484784.312500	247665.890625	237118.437500
 40-44 	403528.156250	205218.875000	198309.281250
 45-49 	334717.812500	168767.562500	165950.265625
 50-54 	274210.593750	136671.171875	137539.421875
 55-59 	217396.375000	106733.554688	110662.828125
 60-64 	165929.343750	79973.078125	85956.257813
 65-69 	117145.234375	55468.894531	61676.335938
 70-74 	72646.828125	33700.480469	38946.347656
 75-79 	36911.890625	16746.937500	20164.953125
 80+ 	16668.228516	7398.628418	9269.600586
Total	9573187.000000	4870609.000000	4702578.000000
1975			
 0-4	1788482.500000	908670.125000	879812.375000
 5-9	1474025.750000	752504.500000	721521.312500
 10-14 	1224219.250000	627129.250000	597089.937500
 15-19 	988245.437500	507609.656250	480635.750000
 20-24 	791851.000000	406889.343750	384961.718750
 25-29 	731126.000000	376782.625000	354343.406250
 30-34 	596016.250000	305402.562500	290613.687500
 35-39 	493865.250000	252347.343750	241517.906250
 40-44 	410718.875000	208972.531250	201746.359375
 45-49 	340414.875000	171714.562500	168700.343750
 50-54 	279328.656250	139279.468750	140049.203125
 55-59 	221596.390625	108859.312500	112737.085938
 60-64 	169322.031250	81619.703125	87702.335938
 65-69 	119826.179688	56735.796875	63090.382813
 70-74 	74552.070313	34582.812500	39969.257813
 75-79 	37945.363281	17193.923828	20751.441406
 80+ 	17256.023438	7630.048340	9625.974609
Total	9758792.000000	4963923.500000	4794868.500000
1976			
 0-4	1807923.750000	918676.875000	889246.937500
 5-9	1494517.000000	761834.187500	732682.875000
 10-14 	1256794.500000	643643.500000	613150.937500
 15-19 	1015803.500000	521574.875000	494228.625000
 20-24 	803907.875000	412937.062500	390970.781250
 25-29 	732183.062500	377214.375000	354968.656250
 30-34 	610853.875000	313391.500000	297462.343750
 35-39 	501944.562500	256505.937500	245438.625000
 40-44 	417161.812500	212341.062500	204820.765625
 45-49 	345522.968750	174371.984375	171150.968750
 50-54 	283729.593750	141538.109375	142191.468750
 55-59 	225465.093750	110820.890625	114644.203125
 60-64 	172337.015625	83099.148438	89237.867188
 65-69 	122249.171875	57877.308594	64371.859375
 70-74 	76355.093750	35422.269531	40932.824219
 75-79 	38900.101563	17611.376953	21288.726563
 80+ 	17824.564453	7853.782227	9970.782227
Total	9923474.000000	5046714.000000	4876759.000000
1977			
 0-4	1825122.000000	927688.875000	897433.125000
 5-9	1511360.000000	769250.687500	742109.375000
 10-14 	1288550.875000	659742.812500	628808.125000
 15-19 	1042246.375000	534924.062500	507322.312500
 20-24 	823206.500000	422797.281250	400409.187500
 25-29 	726069.625000	373756.625000	352312.937500
 30-34 	627960.250000	322667.062500	305293.250000
 35-39 	509369.937500	260304.453125	249065.468750
 40-44 	423473.281250	215637.031250	207836.265625
 45-49 	350543.562500	176995.171875	173548.406250
 50-54 	287791.750000	143637.312500	144154.437500
 55-59 	229334.781250	112777.437500	116557.335938
 60-64 	175185.296875	84516.960938	90668.343750
 65-69 	124602.210938	58982.894531	65619.312500
 70-74 	78147.781250	36259.171875	41888.605469
 75-79 	39850.863281	18032.080078	21818.783203
 80+ 	18397.921875	8079.876953	10318.044922
Total	10081213.000000	5126050.000000	4955163.500000
1978			
 0-4	1845811.500000	938510.500000	907301.000000
 5-9	1530114.625000	777711.250000	752403.437500
 10-14 	1321895.500000	676613.625000	645281.875000
 15-19 	1071144.875000	549508.187500	521636.718750
 20-24 	850017.375000	436552.843750	413464.562500
 25-29 	719061.375000	369737.625000	349323.750000
 30-34 	646364.750000	332613.375000	313751.343750
 35-39 	518374.312500	264936.187500	253438.140625
 40-44 	430925.687500	219502.437500	211423.250000
 45-49 	356507.500000	180104.234375	176403.281250
 50-54 	292431.718750	146029.937500	146401.796875
 55-59 	233808.328125	115028.460938	118779.875000
 60-64 	178435.015625	86142.992188	92292.031250
 65-69 	127266.445313	60236.710938	67029.734375
 70-74 	80134.578125	37186.332031	42948.246094
 75-79 	40936.882813	18518.060547	22418.824219
 80+ 	19032.429688	8334.196289	10698.232422
Total	10262263.000000	5217267.000000	5044996.000000
1979			
 0-4	1875269.000000	953788.562500	921480.375000
 5-9	1559072.875000	791632.812500	767440.062500
