Year Total	Male	Female
1970			
 0-4	86412752.000000	44434304.000000	41978448.000000
 5-9	74271688.000000	38480312.000000	35791376.000000
 10-14 	65599416.000000	34127444.000000	31471970.000000
 15-19 	57934540.000000	30216506.000000	27718032.000000
 20-24 	45034024.000000	23087752.000000	21946270.000000
 25-29 	39179112.000000	20061084.000000	19118028.000000
 30-34 	36244048.000000	18459390.000000	17784658.000000
 35-39 	32014712.000000	16501103.000000	15513610.000000
 40-44 	27676924.000000	14620521.000000	13056403.000000
 45-49 	23440876.000000	12479586.000000	10961291.000000
 50-54 	19603248.000000	10390264.000000	9212985.000000
 55-59 	15803073.000000	8268607.000000	7534466.000000
 60-64 	12349108.000000	6407038.000000	5942070.000000
 65-69 	8283525.000000	4330664.000000	3952861.000000
 70-74 	5538234.000000	2808381.000000	2729853.000000
 75-79 	2676733.000000	1333330.000000	1343403.000000
 80+ 	1881214.000000	808829.000000	1072385.000000
Total	553943232.000000	286815104.000000	267128112.000000
1971			
 0-4	87536696.000000	45024624.000000	42512068.000000
 5-9	75952152.000000	39335704.000000	36616448.000000
 10-14 	66971768.000000	34823140.000000	32148632.000000
 15-19 	59774624.000000	31210436.000000	28564190.000000
 20-24 	47135816.000000	24256868.000000	22878950.000000
 25-29 	39831520.000000	20417310.000000	19414208.000000
 30-34 	36703944.000000	18719324.000000	17984620.000000
 35-39 	32707748.000000	16808610.000000	15899137.000000
 40-44 	28316406.000000	14899328.000000	13417079.000000
 45-49 	23990128.000000	12764514.000000	11225614.000000
 50-54 	20045600.000000	10635387.000000	9410213.000000
 55-59 	16165031.000000	8468555.000000	7696475.500000
 60-64 	12648631.000000	6553559.000000	6095072.000000
 65-69 	8579294.000000	4478055.000000	4101239.250000
 70-74 	5663428.500000	2881788.750000	2781640.000000
 75-79 	2847835.250000	1420535.875000	1427299.250000
 80+ 	1917821.500000	831173.875000	1086647.625000
Total	566788416.000000	293528928.000000	273259520.000000
1972			
 0-4	88653488.000000	45610152.000000	43043332.000000
 5-9	77687888.000000	40222688.000000	37465196.000000
 10-14 	68438800.000000	35571200.000000	32867596.000000
 15-19 	61241952.000000	31976718.000000	29265236.000000
 20-24 	49694744.000000	25696272.000000	23998474.000000
 25-29 	40572228.000000	20801712.000000	19770516.000000
 30-34 	37108744.000000	18970058.000000	18138686.000000
 35-39 	33439854.000000	17145060.000000	16294794.000000
 40-44 	28968676.000000	15169603.000000	13799073.000000
 45-49 	24577524.000000	13065495.000000	11512030.000000
 50-54 	20497420.000000	10881858.000000	9615563.000000
 55-59 	16567063.000000	8691620.000000	7875443.000000
 60-64 	12906556.000000	6682788.500000	6223767.500000
 65-69 	8945131.000000	4650848.000000	4294283.000000
 70-74 	5739300.000000	2935959.000000	2803341.250000
 75-79 	3063940.250000	1524972.875000	1538967.250000
 80+ 	1945563.125000	851165.000000	1094398.125000
Total	580048896.000000	300448160.000000	279600704.000000
1973			
 0-4	89823840.000000	46217156.000000	43606688.000000
 5-9	79407048.000000	41109668.000000	38297380.000000
 10-14 	69987504.000000	36362960.000000	33624544.000000
 15-19 	62456072.000000	32587604.000000	29868468.000000
 20-24 	52456520.000000	27255416.000000	25201108.000000
 25-29 	41497780.000000	21278378.000000	20219404.000000
 30-34 	37501732.000000	19223034.000000	18278698.000000
 35-39 	34167408.000000	17490038.000000	16677372.000000
 40-44 	29632604.000000	15437263.000000	14195342.000000
 45-49 	25194716.000000	13373717.000000	11821000.000000
 50-54 	20965300.000000	11132251.000000	9833050.000000
 55-59 	16996574.000000	8929548.000000	8067026.000000
 60-64 	13150614.000000	6808163.000000	6342451.000000
 65-69 	9338846.000000	4831397.500000	4507448.500000
 70-74 	5810683.000000	2988446.250000	2822237.000000
 75-79 	3284463.500000	1629843.125000	1654620.250000
 80+ 	1983017.500000	876116.312500	1106901.125000
Total	593654720.000000	307531008.000000	286123744.000000
1974			
 0-4	91294400.000000	46966476.000000	44327924.000000
 5-9	80834208.000000	41860560.000000	38973644.000000
 10-14 	71591272.000000	37180520.000000	34410752.000000
 15-19 	63640180.000000	33177390.000000	30462792.000000
 20-24 	55043544.000000	28708236.000000	26335308.000000
 25-29 	42761420.000000	21950474.000000	20810946.000000
 30-34 	37954860.000000	19499962.000000	18454896.000000
 35-39 	34829548.000000	17814974.000000	17014574.000000
 40-44 	30313108.000000	15715013.000000	14598096.000000
 45-49 	25831940.000000	13677877.000000	12154064.000000
 50-54 	21461724.000000	11392775.000000	10068948.000000
 55-59 	17436056.000000	9171205.000000	8264851.000000
 60-64 	13420162.000000	6948617.000000	6471545.000000
 65-69 	9705684.000000	4997853.000000	4707832.000000
 70-74 	5931771.500000	3059591.250000	2872180.000000
 75-79 	3465690.500000	1717770.750000	1747919.750000
 80+ 	2048484.625000	913011.250000	1135473.375000
Total	607564032.000000	314752288.000000	292811744.000000
1975			
 0-4	93719024.000000	48215844.000000	45503176.000000
 5-9	81285376.000000	42101456.000000	39183924.000000
 10-14 	73230088.000000	38011664.000000	35218420.000000
 15-19 	64930316.000000	33828628.000000	31101688.000000
 20-24 	57214196.000000	29910736.000000	27303462.000000
 25-29 	44430540.000000	22866192.000000	21564348.000000
 30-34 	38515080.000000	19816036.000000	18699044.000000
 35-39 	35391548.000000	18102314.000000	17289234.000000
 40-44 	31007884.000000	16008186.000000	14999699.000000
 45-49 	26480048.000000	13970003.000000	12510044.000000
 50-54 	21991696.000000	11665246.000000	10326450.000000
 55-59 	17875096.000000	9409746.000000	8465350.000000
 60-64 	13734246.000000	7113290.500000	6620955.500000
 65-69 	10019081.000000	5140386.500000	4878695.000000
 70-74 	6124238.000000	3156731.500000	2967506.500000
 75-79 	3593489.750000	1783570.750000	1809919.125000
 80+ 	2144912.000000	962484.875000	1182427.250000
Total	621686848.000000	322062528.000000	299624352.000000
1976			
 0-4	95453440.000000	49111312.000000	46342124.000000
 5-9	82423136.000000	42695068.000000	39728072.000000
 10-14 	74922064.000000	38869148.000000	36052912.000000
 15-19 	66302112.000000	34524976.000000	31777134.000000
 20-24 	59022928.000000	30893508.000000	28129418.000000
 25-29 	46494744.000000	24017144.000000	22477602.000000
 30-34 	39174200.000000	20169300.000000	19004900.000000
 35-39 	35877184.000000	18365306.000000	17511876.000000
 40-44 	31720330.000000	16318495.000000	15401834.000000
 45-49 	27137838.000000	14251723.000000	12886116.000000
 50-54 	22553136.000000	11948952.000000	10604185.000000
 55-59 	18318212.000000	9647235.000000	8670977.000000
 60-64 	14082734.000000	7297383.000000	6785350.500000
 65-69 	10293821.000000	5266025.000000	5027795.000000
 70-74 	6371531.000000	3272996.500000	3098534.500000
 75-79 	3684687.000000	1834540.875000	1850146.250000
 80+ 	2261688.750000	1019779.000000	1241909.750000
Total	636093760.000000	329502880.000000	306590880.000000
1977			
 0-4	97219616.000000	50021264.000000	47198356.000000
 5-9	83577024.000000	43297544.000000	40279476.000000
 10-14 	76656848.000000	39751656.000000	36905192.000000
 15-19 	67755256.000000	35266380.000000	32488876.000000
 20-24 	60452144.000000	31644710.000000	28807432.000000
 25-29 	48990108.000000	25424814.000000	23565296.000000
 30-34 	39902272.000000	20540858.000000	19361412.000000
 35-39 	36295720.000000	18611414.000000	17684308.000000
 40-44 	32461168.000000	16651568.000000	15809601.000000
 45-49 	27799700.000000	14520761.000000	13278940.000000
 50-54 	23144140.000000	12244157.000000	10899983.000000
 55-59 	18764630.000000	9882703.000000	8881928.000000
 60-64 	14461649.000000	7498973.500000	6962676.000000
 65-69 	10531306.000000	5376153.500000	5155152.000000
 70-74 	6668593.500000	3406353.000000	3262240.750000
 75-79 	3744031.750000	1873366.500000	1870665.375000
 80+ 	2394312.250000	1082816.125000	1311496.125000
Total	650818496.000000	337095488.000000	313723040.000000
1978			
 0-4	99077704.000000	50979152.000000	48098548.000000
 5-9	84797808.000000	43929352.000000	40868452.000000
 10-14 	78371568.000000	40632564.000000	37739004.000000
 15-19 	69286152.000000	36049340.000000	33236816.000000
 20-24 	61631264.000000	32241560.000000	29389700.000000
 25-29 	51682072.000000	26948878.000000	24733196.000000
