Year Total	Male	Female
1970			
 0-4	3651166.000000	1836339.000000	1814827.000000
 5-9	3085670.000000	1561367.000000	1524303.000000
 10-14 	2729289.000000	1377170.000000	1352119.000000
 15-19 	2336303.000000	1180176.000000	1156127.000000
 20-24 	1896299.000000	956340.000000	939959.000000
 25-29 	1640001.000000	819098.000000	820903.000000
 30-34 	1405257.000000	699097.000000	706160.000000
 35-39 	1229702.000000	622742.000000	606960.000000
 40-44 	1046950.000000	538866.000000	508084.000000
 45-49 	877790.000000	437000.000000	440790.000000
 50-54 	757179.000000	368254.000000	388925.000000
 55-59 	598738.000000	285672.000000	313066.000000
 60-64 	472792.000000	212408.000000	260384.000000
 65-69 	324343.000000	137741.000000	186602.000000
 70-74 	218842.000000	87335.000000	131507.000000
 75-79 	132161.000000	48601.000000	83560.000000
 80+ 	100020.000000	32384.000000	67636.000000
Total	22502502.000000	11200590.000000	11301912.000000
1971			
 0-4	3743037.500000	1880495.500000	1862542.000000
 5-9	3167831.000000	1601916.250000	1565914.500000
 10-14 	2794506.500000	1410245.000000	1384261.500000
 15-19 	2417446.500000	1220873.250000	1196573.500000
 20-24 	1970298.250000	995239.750000	975058.625000
 25-29 	1686052.875000	844954.562500	841098.312500
 30-34 	1446453.500000	720068.187500	726385.250000
 35-39 	1259935.875000	635697.125000	624238.750000
 40-44 	1075778.875000	553364.312500	522414.500000
 45-49 	896831.562500	449196.937500	447634.625000
 50-54 	768872.250000	373870.000000	395002.250000
 55-59 	612012.375000	292364.406250	319647.968750
 60-64 	479692.000000	216284.125000	263407.843750
 65-69 	332013.937500	140621.140625	191392.796875
 70-74 	219327.171875	86956.085938	132371.093750
 75-79 	132456.062500	48375.382813	84080.679688
 80+ 	100519.226563	32390.390625	68128.835938
Total	23103066.000000	11502912.000000	11600153.000000
1972			
 0-4	3833732.500000	1924664.500000	1909068.000000
 5-9	3258625.250000	1646016.125000	1612609.125000
 10-14 	2857455.500000	1442503.750000	1414951.625000
 15-19 	2495228.500000	1259456.875000	1235771.625000
 20-24 	2054644.250000	1038825.062500	1015819.250000
 25-29 	1730079.000000	869935.000000	860144.000000
 30-34 	1492238.375000	744135.312500	748103.125000
 35-39 	1289678.750000	648442.625000	641236.000000
 40-44 	1105815.875000	567163.187500	538652.625000
 45-49 	919458.687500	463909.718750	455548.968750
 50-54 	778267.125000	378549.687500	399717.468750
 55-59 	628281.500000	299929.687500	328351.781250
 60-64 	484759.093750	219797.687500	264961.375000
 65-69 	341813.937500	144408.078125	197405.843750
 70-74 	219905.953125	86630.562500	133275.390625
 75-79 	132940.406250	48256.070313	84684.328125
 80+ 	101123.171875	32380.292969	68742.875000
Total	23724048.000000	11815004.000000	11909043.000000
1973			
 0-4	3918769.500000	1966869.125000	1951900.500000
 5-9	3358166.500000	1693538.500000	1664628.000000
 10-14 	2920693.000000	1474993.750000	1445699.250000
 15-19 	2569246.000000	1295929.000000	1273317.000000
 20-24 	2144468.000000	1084623.750000	1059844.125000
 25-29 	1775036.625000	895219.125000	879817.500000
 30-34 	1540255.875000	769877.250000	770378.625000
 35-39 	1319742.875000	661543.875000	658199.062500
 40-44 	1136235.000000	580197.000000	556038.000000
 45-49 	944601.250000	479900.875000	464700.375000
 50-54 	787098.375000	383327.812500	403770.562500
 55-59 	645676.125000	307654.625000	338021.500000
 60-64 	489510.093750	223360.484375	266149.625000
 65-69 	352307.250000	148552.171875	203755.062500
 70-74 	221233.250000	86650.703125	134582.546875
 75-79 	133546.187500	48178.953125	85367.234375
 80+ 	101781.132813	32353.474609	69427.656250
Total	24358368.000000	12132770.000000	12225597.000000
1974			
 0-4	3998200.250000	2007649.000000	1990551.375000
 5-9	3461758.000000	1741735.750000	1720022.250000
 10-14 	2987857.250000	1509159.750000	1478697.500000
 15-19 	2639383.000000	1330562.875000	1308820.250000
 20-24 	2232355.250000	1128914.375000	1103440.875000
 25-29 	1825844.750000	922874.500000	902970.125000
 30-34 	1586863.000000	795073.000000	791789.937500
 35-39 	1351457.625000	675855.562500	675602.062500
 40-44 	1165891.625000	592440.937500	573450.687500
 45-49 	970632.312500	495355.812500	475276.500000
 50-54 	797932.937500	389677.687500	408255.250000
 55-59 	661497.937500	314574.531250	346923.375000
 60-64 	496061.968750	227494.156250	268567.812500
 65-69 	361646.437500	152403.859375	209242.578125
 70-74 	224089.968750	87337.273438	136752.687500
 75-79 	134186.093750	48069.019531	86117.078125
 80+ 	102455.375000	32313.384766	70141.992188
Total	24998114.000000	12451491.000000	12546622.000000
1975			
 0-4	4080777.500000	2052740.750000	2028036.500000
 5-9	3556282.500000	1782820.500000	1773461.875000
 10-14 	3061569.250000	1546018.375000	1515550.750000
 15-19 	2705523.500000	1363448.875000	1342074.500000
 20-24 	2312821.000000	1168837.250000	1143983.875000
 25-29 	1883993.375000	953214.625000	930778.812500
 30-34 	1628847.250000	817643.875000	811203.375000
 35-39 	1384680.000000	691267.500000	693412.562500
 40-44 	1193562.250000	603539.875000	590022.437500
 45-49 	996161.687500	508949.750000	487211.937500
 50-54 	811959.375000	398173.968750	413785.437500
 55-59 	674212.187500	320152.156250	354060.062500
 60-64 	505335.218750	232329.218750	273006.000000
 65-69 	368952.906250	155655.109375	213297.796875
 70-74 	228670.656250	88741.031250	139929.625000
 75-79 	134858.343750	47911.757813	86946.585938
 80+ 	103120.234375	32247.046875	70873.187500
Total	25631328.000000	12763692.000000	12867635.000000
1976			
 0-4	4158311.000000	2091552.125000	2066758.750000
 5-9	3647878.000000	1826562.250000	1821315.750000
 10-14 	3142921.750000	1586066.500000	1556855.250000
 15-19 	2769047.500000	1395355.250000	1373692.250000
 20-24 	2389175.500000	1206306.125000	1182869.250000
 25-29 	1950973.000000	987361.375000	963611.625000
 30-34 	1668484.500000	839028.375000	829456.000000
 35-39 	1420794.125000	708709.500000	712084.625000
 40-44 	1220277.000000	614101.687500	606175.312500
 45-49 	1022174.000000	521460.437500	500713.531250
 50-54 	829061.125000	408749.875000	420311.250000
 55-59 	684728.000000	324847.281250	359880.687500
 60-64 	517012.437500	237801.500000	279210.937500
 65-69 	374807.875000	158583.968750	216223.921875
 70-74 	234735.046875	90747.054688	143988.000000
 75-79 	135652.078125	47784.628906	87867.453125
 80+ 	103871.492188	32194.593750	71676.898438
Total	26269904.000000	13077212.000000	13192691.000000
1977			
 0-4	4228545.500000	2126710.750000	2101835.000000
 5-9	3738125.750000	1870244.875000	1867880.875000
 10-14 	3232728.750000	1629585.625000	1603143.250000
 15-19 	2830585.000000	1426622.750000	1403962.250000
 20-24 	2462574.750000	1241916.750000	1220658.125000
 25-29 	2027919.500000	1025986.000000	1001933.500000
 30-34 	1705591.875000	859207.562500	846384.312500
 35-39 	1460768.625000	728758.250000	732010.375000
 40-44 	1246119.000000	624192.750000	621926.187500
 45-49 	1049121.500000	533164.312500	515957.218750
 50-54 	849281.125000	421485.687500	427795.437500
 55-59 	693177.500000	328702.718750	364474.750000
 60-64 	531232.437500	243961.625000	287270.843750
 65-69 	379261.281250	161271.906250	217989.359375
 70-74 	242312.812500	93326.867188	148985.937500
 75-79 	136529.453125	47694.812500	88834.640625
 80+ 	104781.304688	32183.478516	72597.828125
Total	26918656.000000	13395017.000000	13523640.000000
1978			
 0-4	4296107.500000	2160632.500000	2135475.000000
 5-9	3823135.250000	1912187.000000	1910948.125000
 10-14 	3331277.500000	1676524.750000	1654752.625000
 15-19 	2892979.000000	1458478.250000	1434500.625000
 20-24 	2533551.750000	1276258.750000	1257293.000000
 25-29 	2111573.250000	1067626.750000	1043946.375000
 30-34 	1744563.125000	880301.187500	864262.000000
 35-39 	1503528.000000	750824.625000	752703.312500
 40-44 	1272711.250000	634908.875000	637802.312500
 45-49 	1076792.500000	544377.937500	532414.625000
 50-54 	872060.687500	435530.437500	436530.250000
 55-59 	701353.687500	332790.937500	368562.718750
 60-64 	546585.875000	250344.250000	296241.656250
 65-69 	383654.312500	164099.921875	219554.406250
 70-74 	250462.875000	96177.789063	154285.093750
 75-79 	137958.421875	47836.800781	90121.617188
 80+ 	105828.289063	32202.421875	73625.867188
Total	27584124.000000	13721103.000000	13863019.000000
1979			
 0-4	4364675.000000	2195245.000000	2169430.500000
 5-9	3903373.250000	1953148.250000	1950224.875000
 10-14 	3434093.250000	1724246.000000	1709847.250000
 15-19 	2959958.500000	1492423.375000	1467535.000000
 20-24 	2602552.750000	1309955.875000	1292597.000000
 25-29 	2195889.750000	1109423.125000	1086466.625000
 30-34 	1791601.000000	905232.437500	886368.500000
 35-39 	1546737.875000	773551.000000	773186.937500
 40-44 	1302184.125000	647635.687500	654548.375000
 45-49 	1104679.000000	555464.250000	549214.687500
 50-54 	896358.437500	449528.281250	446830.156250
 55-59 	711785.625000	338565.593750	373220.062500
 60-64 	560963.000000	256284.812500	304678.218750
 65-69 	389801.937500	167523.703125	222278.234375
 70-74 	257953.203125	98938.531250	159014.671875
 75-79 	140485.375000	48416.718750	92068.664063
 80+ 	106980.765625	32235.019531	74745.742188
Total	28270074.000000	14057818.000000	14212255.000000
1980			
 0-4	4437335.000000	2232239.250000	2205095.750000
 5-9	3988162.500000	1999146.000000	1989016.250000
 10-14 	3528590.500000	1765254.000000	1763336.625000
 15-19 	3035117.000000	1530102.250000	1505014.875000
 20-24 	2671993.000000	1344782.000000	1327211.125000
 25-29 	2279612.750000	1151332.750000	1128280.000000
 30-34 	1852562.250000	937259.750000	915302.437500
 35-39 	1590879.000000	797365.937500	793513.125000
 40-44 	1336953.125000	664011.812500	672941.312500
 45-49 	1133314.250000	567255.562500	566058.625000
 50-54 	922031.875000	463055.562500	458976.312500
 55-59 	726221.750000	347010.500000	379211.281250
 60-64 	573499.187500	261655.046875	311844.156250
 65-69 	398706.000000	171816.671875	226889.312500
 70-74 	264326.593750	101529.953125	162796.625000
 75-79 	144321.625000	49522.882813	94798.742188
 80+ 	108297.195313	32316.826172	75980.367188
Total	28991924.000000	14415657.000000	14576267.000000
1981			
 0-4	4513533.500000	2271178.250000	2242355.500000
 5-9	4069141.250000	2039656.750000	2029484.500000
 10-14 	3620353.000000	1808951.875000	1811401.250000
 15-19 	3118115.000000	1571098.625000	1547016.375000
 20-24 	2740076.000000	1379412.000000	1360664.000000
 25-29 	2361591.000000	1192302.625000	1169288.375000
 30-34 	1924676.250000	974639.187500	950037.062500
 35-39 	1634854.250000	821427.125000	813427.125000
 40-44 	1376053.625000	683357.750000	692695.937500
 45-49 	1162160.375000	579281.687500	582878.750000
 50-54 	949007.375000	476142.062500	472865.343750
 55-59 	743939.000000	357635.156250	386303.875000
 60-64 	584588.312500	266570.187500	318018.093750
 65-69 	409862.718750	176763.421875	233099.281250
 70-74 	269872.062500	104041.117188	165830.953125
 75-79 	149234.796875	51027.632813	98207.164063
 80+ 	109807.375000	32456.757813	77350.617188
Total	29736866.000000	14785942.000000	14950924.000000
1982			
 0-4	4590283.000000	2310420.750000	2279862.500000
 5-9	4143923.750000	2077235.750000	2066687.750000
 10-14 	3710902.500000	1852636.250000	1858266.250000
 15-19 	3209374.500000	1615447.875000	1593926.750000
 20-24 	2806389.750000	1413519.625000	1392870.125000
 25-29 	2441551.500000	1231999.625000	1209552.000000
 30-34 	2007778.000000	1017180.187500	990597.937500
 35-39 	1677498.000000	845060.562500	832437.500000
 40-44 	1419733.750000	705763.937500	713969.875000
 45-49 	1190833.500000	591291.875000	599541.625000
 50-54 	977394.500000	488830.500000	488564.062500
 55-59 	764760.000000	370366.906250	394393.093750
 60-64 	594207.500000	270977.750000	323229.718750
 65-69 	423273.187500	182337.343750	240935.843750
 70-74 	274562.375000	106489.195313	168073.187500
 75-79 	155207.703125	52889.988281	102317.718750
 80+ 	111499.789063	32656.630859	78843.156250
Total	30499174.000000	15165105.000000	15334069.000000
1983			
 0-4	4663651.000000	2347887.750000	2315763.000000
 5-9	4216328.000000	2113879.500000	2102448.250000
 10-14 	3796134.750000	1894525.375000	1901609.500000
 15-19 	3308405.000000	1662588.250000	1645816.750000
 20-24 	2871864.500000	1446998.500000	1424866.125000
 25-29 	2517469.000000	1269191.375000	1248277.625000
 30-34 	2096381.250000	1061803.125000	1034578.000000
 35-39 	1721223.125000	868974.500000	852248.625000
 40-44 	1465500.875000	729624.750000	735876.125000
 45-49 	1219712.875000	603502.375000	616210.562500
 50-54 	1006148.500000	500814.937500	505333.562500
 55-59 	787706.562500	384099.156250	403607.375000
 60-64 	603588.875000	275562.468750	328026.437500
 65-69 	437644.093750	188085.640625	249558.437500
 70-74 	279293.187500	109065.156250	170228.031250
 75-79 	161577.812500	54907.769531	106670.046875
 80+ 	113589.250000	32982.863281	80606.382813
Total	31266218.000000	15544494.000000	15721725.000000
1984			
 0-4	4731069.000000	2382273.000000	2348796.250000
 5-9	4289144.500000	2151009.000000	2138135.250000
 10-14 	3876324.500000	1935309.375000	1941015.250000
 15-19 	3410166.750000	1709502.875000	1700664.000000
 20-24 	2938643.250000	1480208.250000	1458435.000000
 25-29 	2587598.500000	1302867.250000	1284731.250000
 30-34 	2182588.750000	1104219.625000	1078369.000000
 35-39 	1770482.750000	894794.625000	875688.187500
 40-44 	1509782.125000	752659.250000	757122.875000
 45-49 	1249687.625000	616407.125000	633280.500000
 50-54 	1033938.812500	511832.125000	522106.687500
 55-59 	811375.625000	397272.750000	414102.906250
 60-64 	614605.625000	281325.562500	333280.062500
 65-69 	451146.906250	193424.406250	257722.484375
 70-74 	285344.000000	112023.531250	173320.453125
 75-79 	167500.812500	56855.332031	110645.484375
 80+ 	116331.437500	33506.164063	82825.273438
Total	32025730.000000	15915490.000000	16110241.000000
1985			
 0-4	4789067.500000	2411503.000000	2377564.750000
 5-9	4362591.500000	2188365.500000	2174225.750000
 10-14 	3958728.750000	1979923.750000	1978805.000000
 15-19 	3501708.500000	1748489.625000	1753218.750000
 20-24 	3008444.500000	1513736.625000	1494707.750000
 25-29 	2650513.250000	1332672.500000	1317840.750000
