Year Total	Male	Female
1970			
 0-4	7064728.000000	3596653.000000	3468075.000000
 5-9	6390534.000000	3248071.000000	3142463.000000
 10-14 	5548043.000000	2815068.000000	2732975.000000
 15-19 	4270720.000000	2162292.000000	2108428.000000
 20-24 	2796913.000000	1383931.000000	1412982.000000
 25-29 	2310396.000000	1138560.000000	1171836.000000
 30-34 	2261558.000000	1109729.000000	1151829.000000
 35-39 	2391378.000000	1170589.000000	1220789.000000
 40-44 	2032514.000000	987232.000000	1045282.000000
 45-49 	1852676.000000	890813.000000	961863.000000
 50-54 	1557168.000000	751513.000000	805655.000000
 55-59 	1430097.000000	682601.000000	747496.000000
 60-64 	1162477.000000	543432.000000	619045.000000
 65-69 	1008875.000000	447747.000000	561128.000000
 70-74 	652802.000000	261680.000000	391122.000000
 75-79 	388426.000000	133367.000000	255059.000000
 80+ 	287986.000000	72998.000000	214988.000000
Total	43407292.000000	21396276.000000	22011016.000000
1971			
 0-4	7137772.000000	3633238.500000	3504533.500000
 5-9	6498632.000000	3301433.500000	3197198.750000
 10-14 	5724280.000000	2902041.000000	2822239.000000
 15-19 	4546908.500000	2302846.250000	2244062.250000
 20-24 	3022115.500000	1501432.750000	1520682.750000
 25-29 	2347514.000000	1154610.625000	1192903.375000
 30-34 	2234124.500000	1094355.375000	1139769.000000
 35-39 	2384862.500000	1164850.375000	1220012.000000
 40-44 	2085668.250000	1011636.375000	1074031.875000
 45-49 	1875202.750000	898320.000000	976882.750000
 50-54 	1586536.625000	762336.687500	824199.875000
 55-59 	1437309.625000	684214.437500	753095.187500
 60-64 	1177885.375000	547696.625000	630188.750000
 65-69 	1005722.187500	444129.375000	561592.812500
 70-74 	674521.187500	270737.437500	403783.781250
 75-79 	393200.000000	134841.765625	258358.234375
 80+ 	291407.562500	73680.070313	217727.484375
Total	44423664.000000	21882400.000000	22541262.000000
1972			
 0-4	7214849.500000	3671749.250000	3543100.500000
 5-9	6600252.000000	3351647.000000	3248605.500000
 10-14 	5876214.500000	2976717.750000	2899496.500000
 15-19 	4801710.500000	2430109.750000	2371600.750000
 20-24 	3299146.750000	1647103.250000	1652043.625000
 25-29 	2394911.750000	1175166.000000	1219745.750000
 30-34 	2221914.750000	1086754.625000	1135160.125000
 35-39 	2347921.000000	1143934.750000	1203986.250000
 40-44 	2156642.000000	1044351.125000	1112290.875000
 45-49 	1884242.375000	899975.062500	984267.250000
 50-54 	1628459.750000	777944.687500	850515.000000
 55-59 	1433092.000000	680614.312500	752477.750000
 60-64 	1204008.000000	556397.750000	647610.187500
 65-69 	990230.375000	434798.031250	555432.375000
 70-74 	699117.250000	280808.812500	418308.437500
 75-79 	395658.250000	135540.343750	260117.875000
 80+ 	293710.687500	74147.789063	219562.890625
Total	45442080.000000	22367760.000000	23074322.000000
1973			
 0-4	7293067.500000	3710605.500000	3582462.250000
 5-9	6699671.000000	3401461.500000	3298209.250000
 10-14 	6010130.000000	3042652.250000	2967477.750000
 15-19 	5035367.500000	2545296.750000	2490070.750000
 20-24 	3608621.000000	1809902.000000	1798719.000000
 25-29 	2466978.750000	1208689.250000	1258289.375000
 30-34 	2224949.250000	1086949.500000	1137999.750000
 35-39 	2293931.500000	1114998.125000	1178933.250000
 40-44 	2231936.000000	1079093.125000	1152842.750000
 45-49 	1890790.125000	901459.687500	989330.437500
 50-54 	1677378.750000	796484.812500	880893.937500
 55-59 	1427317.500000	676717.250000	750600.375000
 60-64 	1236593.000000	568489.687500	668103.375000
 65-69 	974414.937500	425814.312500	548600.625000
 70-74 	724902.500000	291283.187500	433619.281250
 75-79 	401084.843750	137647.375000	263437.468750
 80+ 	297959.531250	75308.507813	222651.015625
Total	46495092.000000	22872852.000000	23622240.000000
1974			
 0-4	7371854.500000	3749741.750000	3622112.500000
 5-9	6793850.000000	3449298.250000	3344552.000000
 10-14 	6134356.500000	3104171.500000	3030184.750000
 15-19 	5250858.000000	2651363.250000	2599495.000000
 20-24 	3920214.750000	1972621.750000	1947593.000000
 25-29 	2584431.500000	1267139.750000	1317291.875000
 30-34 	2240230.500000	1093228.375000	1147002.125000
 35-39 	2242807.500000	1088157.625000	1154649.750000
 40-44 	2289609.750000	1105504.125000	1184105.750000
 45-49 	1910418.500000	910147.437500	1000271.125000
 50-54 	1723260.250000	814150.187500	909110.062500
 55-59 	1432469.500000	678113.625000	754355.937500
 60-64 	1267214.750000	580885.812500	686328.875000
 65-69 	971147.562500	423240.312500	547907.250000
 70-74 	747953.437500	300883.625000	447069.812500
 75-79 	414088.937500	143192.781250	270896.156250
 80+ 	306307.750000	78020.515625	228287.234375
Total	47601072.000000	23409860.000000	24191214.000000
1975			
 0-4	7448904.000000	3789374.500000	3659529.500000
 5-9	6868235.500000	3486114.000000	3382121.250000
 10-14 	6251228.000000	3162487.250000	3088740.750000
 15-19 	5437569.000000	2743825.500000	2693743.500000
 20-24 	4191676.500000	2112725.000000	2078951.625000
 25-29 	2735711.750000	1345062.625000	1390649.250000
 30-34 	2249641.500000	1095985.625000	1153655.750000
 35-39 	2194880.250000	1063024.625000	1131855.750000
 40-44 	2308568.250000	1113012.125000	1195556.000000
 45-49 	1945545.875000	926465.750000	1019080.125000
 50-54 	1756656.750000	826738.250000	929918.500000
 55-59 	1452261.875000	685897.937500	766363.937500
 60-64 	1289211.250000	590549.250000	698662.062500
 65-69 	984357.812500	428546.000000	555811.875000
 70-74 	765455.500000	308495.562500	456959.937500
 75-79 	435348.312500	152332.562500	283015.718750
 80+ 	319178.187500	82381.562500	236796.625000
Total	48634432.000000	23913018.000000	24721412.000000
1976			
 0-4	7503555.500000	3817037.500000	3686518.250000
 5-9	6946444.000000	3525783.750000	3420660.000000
 10-14 	6364012.000000	3219332.500000	3144679.750000
 15-19 	5602993.000000	2826231.500000	2776761.750000
 20-24 	4439331.500000	2238832.000000	2200499.500000
 25-29 	2929879.000000	1446761.375000	1483117.500000
 30-34 	2264565.000000	1101217.375000	1163347.625000
 35-39 	2155301.750000	1042313.062500	1112988.625000
 40-44 	2296632.250000	1105611.375000	1191020.875000
 45-49 	1995960.000000	950355.750000	1045604.187500
 50-54 	1780239.625000	835643.250000	944596.437500
 55-59 	1484999.125000	699158.375000	785840.750000
 60-64 	1304434.125000	598034.500000	706399.562500
 65-69 	1010561.750000	440084.656250	570477.062500
 70-74 	778596.750000	314655.625000	463941.125000
 75-79 	463509.718750	164460.906250	299048.812500
 80+ 	336098.312500	88207.601563	247890.718750
Total	49657112.000000	24413720.000000	25243392.000000
1977			
 0-4	7544088.000000	3837845.000000	3706243.000000
