CD4	0_4	5_9	10_14	15_24	25_34	35_44	45_54	0_4	5_9	10_14	15_24	25_34	35_44	45_54
0_6														
500	0.0402	0.0050	0.0058	0.005	0.003531	0.005	0.005	0.0335	0.0042	0.0048	0.005	0.003531	0.005	0.005
350_500	0.0778	0.0097	0.0112	0.011491	0.009503	0.013398	0.012624	0.0649	0.0081	0.0094	0.010988	0.009503	0.011993	0.012624
250_349	0.0434	0.0054	0.0063	0.014938	0.015641	0.016743	0.031872	0.0361	0.0045	0.0052	0.011578	0.012061	0.012703	0.031872
200_249	0.0434	0.0054	0.0063	0.015748	0.016511	0.017723	0.051319	0.0361	0.0045	0.0052	0.012228	0.012751	0.013483	0.038979
100_199	1.0206	0.1276	0.1473	0.019808	0.020841	0.022613	0.065529	0.8507	0.1063	0.1228	0.015438	0.016171	0.017343	0.050219
50_99	1.0206	0.1276	0.1473	0.024988	0.026371	0.028853	0.083669	0.8507	0.1063	0.1228	0.019528	0.020551	0.022283	0.064569
50	1.0206	0.1276	0.1473	0.036478	0.038641	0.042693	0.123909	0.8507	0.1063	0.1228	0.028618	0.030251	0.033223	0.096389
7_12														
500	0.1695	0.021183	0.0066	0.005	0.003531	0.005	0.005	0.1551	0.0194	0.0061	0.005	0.003531	0.004903	0.005
350_500	0.1196	0.014954	0.0047	0.009958	0.009503	0.010703	0.012624	0.1095	0.0137	0.0043	0.005218	0.006801	0.005023	0.012624
250_349	0.2146	0.026822	0.0084	0.010298	0.013441	0.011103	0.031872	0.1963	0.0245	0.0077	0.005418	0.007051	0.005253	0.015299
200_249	0.2146	0.026822	0.0084	0.010638	0.013891	0.011513	0.033709	0.1963	0.0245	0.0077	0.005608	0.007311	0.005483	0.015979
100_199	0.4653	0.058162	0.0182	0.012128	0.015841	0.013303	0.038969	0.4257	0.0532	0.0167	0.006458	0.008421	0.006503	0.018989
50_99	0.4653	0.058162	0.0182	0.013758	0.017981	0.015263	0.044729	0.4257	0.0532	0.0167	0.007398	0.009651	0.007623	0.022289
50	0.4653	0.058162	0.0182	0.016768	0.021921	0.018873	0.055349	0.4257	0.0532	0.0167	0.009118	0.011901	0.009693	0.028359
12														
500	0.0730	0.00912	0.0029	0.003168	0.003531	0.002553	0.005	0.0668	0.0083	0.0026	0.001338	0.001711	0.000363	0.000919
350_500	0.0515	0.006439	0.0020	0.003228	0.004191	0.002633	0.007599	0.0471	0.0059	0.0018	0.001368	0.001761	0.000403	0.001049
250_349	0.0924	0.011548	0.0036	0.003358	0.004371	0.002793	0.008069	0.0845	0.0106	0.0036	0.001448	0.001861	0.000493	0.001309
200_249	0.0924	0.011548	0.0036	0.003498	0.004541	0.002953	0.008529	0.0845	0.0106	0.0033	0.001518	0.001951	0.000583	0.001579
100_199	0.2003	0.025042	0.0078	0.004078	0.005311	0.003653	0.010599	0.1833	0.0229	0.0072	0.001838	0.002381	0.000963	0.002759
50_99	0.2003	0.025042	0.0078	0.004718	0.006141	0.004423	0.012859	0.1833	0.0229	0.0072	0.002198	0.002841	0.001383	0.004049
50	0.2003	0.025042	0.0078	0.005898	0.007691	0.005833	0.017019	0.1833	0.0229	0.0072	0.002838	0.003671	0.002153	0.006439
