Need for ART by age			
	Ghana		
 	Total	Male	Female
1970			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1971			
 0-4	1.649635	0.846111	0.803524
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	1.649635	0.846111	0.803524
1972			
 0-4	4.576893	2.345791	2.231102
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	4.576893	2.345791	2.231102
1973			
 0-4	8.332259	4.267912	4.064347
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.006352	0.004349	0.002003
 20-24 	0.033045	0.025394	0.007650
 25-29 	0.127968	0.103577	0.024391
 30-34 	0.126241	0.105103	0.021138
 35-39 	0.169962	0.143924	0.026037
 40-44 	0.131548	0.111392	0.020156
 45-49 	0.195540	0.163188	0.032353
 50-54 	0.140600	0.115487	0.025113
 55-59 	0.082682	0.067849	0.014833
 60-64 	0.051535	0.043559	0.007976
 65-69 	0.034185	0.029854	0.004331
 70-74 	0.021687	0.018431	0.003256
 75-79 	0.008517	0.007526	0.000991
 80+ 	0.000800	0.000800	0.000000
Total	9.462920	5.208345	4.254575
1974			
 0-4	19.454274	9.966363	9.487911
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.032825	0.022141	0.010685
 20-24 	0.231614	0.175377	0.056238
 25-29 	0.897422	0.721632	0.175790
 30-34 	0.936227	0.776156	0.160071
 35-39 	1.101283	0.931149	0.170134
 40-44 	0.904620	0.766630	0.137990
 45-49 	1.111123	0.929476	0.181647
 50-54 	0.840228	0.691346	0.148883
 55-59 	0.490147	0.401168	0.088979
 60-64 	0.299534	0.251361	0.048173
 65-69 	0.195095	0.169631	0.025464
 70-74 	0.123221	0.105588	0.017633
 75-79 	0.053042	0.045777	0.007265
 80+ 	0.006636	0.006599	0.000037
Total	26.677291	15.960392	10.716899
1975			
 0-4	34.596478	17.716830	16.879648
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.066450	0.044571	0.021879
 20-24 	0.668501	0.498311	0.170190
 25-29 	2.644811	2.113650	0.531161
 30-34 	2.908827	2.401928	0.506899
 35-39 	3.111343	2.625915	0.485428
 40-44 	2.630283	2.229787	0.400495
 45-49 	2.865701	2.402089	0.463612
 50-54 	2.191098	1.805991	0.385107
 55-59 	1.273340	1.040745	0.232595
 60-64 	0.766380	0.639508	0.126872
 65-69 	0.491066	0.425038	0.066028
 70-74 	0.308135	0.265689	0.042446
