Incidence per 1000 by age and sex			
	Ghana		
 	Total	Male	Female
1970			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1971			
 0-4	0.001694	0.001701	0.001686
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.016376	0.022918	0.009458
 20-24 	0.049794	0.075986	0.021910
 25-29 	0.060300	0.096195	0.022449
 30-34 	0.058144	0.095447	0.019075
 35-39 	0.049665	0.082550	0.015382
 40-44 	0.039036	0.064873	0.012378
 45-49 	0.028979	0.047794	0.009898
 50-54 	0.021120	0.034777	0.007582
 55-59 	0.016135	0.027302	0.005401
 60-64 	0.014004	0.024982	0.003787
 65-69 	0.013789	0.025496	0.003267
 70-74 	0.013590	0.024747	0.003921
 75-79 	0.008210	0.016778	0.001005
 80+ 	0.000000	0.000000	0.000000
Total	0.021019	0.033480	0.008091
1972			
 0-4	0.003893	0.003913	0.003874
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.018436	0.025781	0.010671
 20-24 	0.056413	0.086126	0.024835
 25-29 	0.068333	0.108893	0.025436
 30-34 	0.065829	0.108049	0.021609
 35-39 	0.056244	0.093454	0.017428
 40-44 	0.044211	0.073443	0.014023
 45-49 	0.032818	0.054102	0.011213
 50-54 	0.023919	0.039370	0.008590
 55-59 	0.018273	0.030906	0.006119
 60-64 	0.015854	0.028281	0.004290
 65-69 	0.015614	0.028864	0.003702
 70-74 	0.015382	0.028015	0.004441
 75-79 	0.009270	0.018990	0.001136
 80+ 	0.000000	0.000000	0.000000
Total	0.024078	0.038152	0.009486
1973			
 0-4	0.005742	0.005777	0.005706
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.020006	0.027969	0.011588
 20-24 	0.061232	0.093531	0.026986
 25-29 	0.074327	0.118338	0.027648
 30-34 	0.071541	0.117407	0.023491
 35-39 	0.061132	0.101549	0.018946
 40-44 	0.048059	0.079805	0.015245
 45-49 	0.035672	0.058786	0.012189
 50-54 	0.025998	0.042778	0.009338
 55-59 	0.019865	0.033583	0.006651
 60-64 	0.017226	0.030729	0.004664
 65-69 	0.016968	0.031363	0.004024
 70-74 	0.016712	0.030441	0.004828
 75-79 	0.010045	0.020624	0.001230
 80+ 	0.000000	0.000000	0.000000
Total	0.026350	0.041607	0.010541
1974			
 0-4	0.014613	0.014716	0.014506
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.076010	0.106284	0.044021
 20-24 	0.231813	0.354238	0.102297
 25-29 	0.282355	0.449405	0.104911
 30-34 	0.271671	0.445750	0.089186
 35-39 	0.232075	0.385496	0.071916
 40-44 	0.182468	0.302929	0.057864
 45-49 	0.135431	0.223135	0.046266
 50-54 	0.098687	0.162349	0.035440
 55-59 	0.075426	0.127461	0.025247
 60-64 	0.065377	0.116628	0.017700
 65-69 	0.064402	0.119036	0.015274
 70-74 	0.063419	0.115539	0.018328
 75-79 	0.038031	0.078227	0.004652
 80+ 	0.000000	0.000000	0.000000
Total	0.098372	0.156147	0.038543
1975			
 0-4	0.022222	0.022384	0.022054
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.082955	0.116034	0.048023
 20-24 	0.251821	0.384876	0.111269
 25-29 	0.307817	0.490020	0.114253
 30-34 	0.296278	0.485891	0.097213
 35-39 	0.252919	0.420132	0.078364
 40-44 	0.198897	0.330139	0.063051
 45-49 	0.147629	0.243186	0.050415
 50-54 	0.107559	0.176912	0.038612
 55-59 	0.082230	0.138914	0.027512
 60-64 	0.071250	0.127104	0.019285
 65-69 	0.070181	0.129730	0.016644
