CD4	0_4	5_9	10_14	15_24	25_34	35_44	45_54	0_4	5_9	10_14	15_24	25_34	35_44	45_54
0_6														
500	0.0568	0.007097	0.0067	0.0050	0.0035	0.0050	0.005	0.0680	0.0085	0.0080	0.0050	0.003531	0.005	0.005
350_500	0.2567	0.032085	0.0301	0.0115	0.0095	0.0134	0.012624	0.3074	0.0384	0.0360	0.0115	0.009503	0.013398	0.012624
250_349	0.1945	0.024311	0.0228	0.0264	0.0256	0.0359	0.031872	0.2329	0.0291	0.0273	0.0264	0.025576	0.035904	0.031872
200_249	0.1945	0.024311	0.0228	0.0607	0.0563	0.0587	0.059403	0.2329	0.0291	0.0273	0.0529	0.043071	0.044478	0.043293
100_199	0.6814	0.085178	0.0799	0.1113	0.0929	0.0980	0.103883	0.8160	0.1020	0.0957	0.0866	0.071871	0.075398	0.078283
50_99	0.6814	0.085178	0.0799	0.1810	0.1525	0.1619	0.176233	0.8160	0.1020	0.0957	0.1415	0.118701	0.125698	0.135203
50	0.6814	0.085178	0.0799	0.3974	0.3373	0.3605	0.400893	0.8160	0.1020	0.0957	0.3118	0.264131	0.281888	0.311963
7_12														
500	0.1501	0.018764	0.0088	0.0050	0.0035	0.0050	0.005	0.1430	0.0179	0.0083	0.0050	0.003531	0.005	0.005
350_500	0.2148	0.026851	0.0125	0.0115	0.0095	0.0134	0.012624	0.2046	0.0256	0.0119	0.0115	0.009503	0.013398	0.012624
250_349	0.2039	0.025491	0.0119	0.0244	0.0256	0.0323	0.031872	0.1942	0.0243	0.0113	0.0183	0.023491	0.023668	0.029883
200_249	0.2039	0.025491	0.0119	0.0258	0.0332	0.0341	0.045103	0.1942	0.0243	0.0113	0.0193	0.024841	0.025128	0.032003
100_199	0.3850	0.048128	0.0225	0.0323	0.0417	0.0433	0.058433	0.3667	0.0458	0.0214	0.0245	0.031521	0.032348	0.042483
50_99	0.3850	0.048128	0.0225	0.0405	0.0523	0.0548	0.075133	0.3667	0.0458	0.0214	0.0309	0.039891	0.041398	0.055623
50	0.3850	0.048128	0.0225	0.0583	0.0753	0.0797	0.111223	0.3667	0.0458	0.0214	0.0449	0.057971	0.060958	0.083993
12														
500	0.0636	0.007951	0.0037	0.0050	0.0035	0.0050	0.005	0.0606	0.0076	0.0035	0.0050	0.003531	0.005	0.004173
350_500	0.0910	0.011378	0.0053	0.0086	0.0095	0.0101	0.010233	0.0867	0.0108	0.0051	0.0058	0.007371	0.006228	0.004583
250_349	0.0864	0.010802	0.0050	0.0092	0.0117	0.0109	0.011413	0.0823	0.0103	0.0050	0.0063	0.007971	0.006878	0.005513
200_249	0.0864	0.010802	0.0050	0.0098	0.0125	0.0118	0.012683	0.0823	0.0103	0.0048	0.0068	0.008611	0.007568	0.006513
100_199	0.1632	0.020395	0.0095	0.0129	0.0165	0.0161	0.018963	0.1554	0.0194	0.0091	0.0092	0.011751	0.010968	0.011453
50_99	0.1632	0.020395	0.0095	0.0168	0.0216	0.0216	0.026833	0.1554	0.0194	0.0091	0.0123	0.015691	0.015228	0.017643
50	0.1632	0.020395	0.0095	0.0251	0.0324	0.0333	0.043843	0.1554	0.0194	0.0091	0.0188	0.024211	0.024448	0.031013
