Year	CD4_t	CD4_cat 
1970	200	4
1971	200	4
1972	200	4
1973	200	4
1974	200	4
1975	200	4
1976	200	4
1977	200	4
1978	200	4
1979	200	4
1980	200	4
1981	200	4
1982	200	4
1983	200	4
1984	200	4
1985	200	4
1986	200	4
1987	200	4
1988	200	4
1989	200	4
1990	200	4
1991	200	4
1992	200	4
1993	200	4
1994	200	4
1995	200	4
1996	200	4
1997	200	4
1998	200	4
1999	200	4
2000	200	4
2001	200	4
2002	200	4
2003	200	4
2004	200	4
2005	200	4
2006	200	4
2007	200	4
2008	200	4
2009	200	4
2010	350	2
2011	350	2
2012	350	2
2013	350	2
2014	350	2
2015	350	2
2016	350	2
2017	350	2
2018	350	2
2019	350	2
2020	350	2
2021	350	2
2022	350	2
2023	350	2
2024	350	2
2025	350	2
2026	350	2
2027	350	2
2028	350	2
2029	350	2
2030	350	2
2031	350	2
2032	350	2
2033	350	2
2034	350	2
2035	350	2
2036	350	2
2037	350	2
2038	350	2
2039	350	2
2040	350	2
2041	350	2
2042	350	2
2043	350	2
2044	350	2
2045	350	2
2046	350	2
2047	350	2
2048	350	2
2049	350	2
2050	350	2


