Year	type	group	mid	lo	hi
1990	Prevalence	All	505	233	880
1991	Prevalence	All	501	235	867
1992	Prevalence	All	499	236	859
1993	Prevalence	All	498	236	854
1994	Prevalence	All	495	236	849
1995	Prevalence	All	496	238	846
1996	Prevalence	All	493	237	839
1997	Prevalence	All	489	235	833
1998	Prevalence	All	489	237	830
1999	Prevalence	All	483	234	820
2000	Prevalence	All	479	233	813
2001	Prevalence	All	476	233	805
2002	Prevalence	All	472	233	792
2003	Prevalence	All	463	231	774
2004	Prevalence	All	453	229	752
2005	Prevalence	All	444	226	734
2006	Prevalence	All	436	224	718
2007	Prevalence	All	429	223	702
2008	Prevalence	All	423	220	690
2009	Prevalence	All	417	218	680
2010	Prevalence	All	412	215	671
2011	Prevalence	All	408	213	665
2012	Prevalence	All	403	210	657
2013	Prevalence	All	399	209	650
2014	Prevalence	All	404	211	659
1990	Incidence	All	226	185	271
1991	Incidence	All	225	193	259
1992	Incidence	All	224	199	251
1993	Incidence	All	224	204	246
1994	Incidence	All	225	207	243
1995	Incidence	All	225	208	242
1996	Incidence	All	225	209	241
1997	Incidence	All	225	209	241
1998	Incidence	All	225	208	242
1999	Incidence	All	225	207	243
2000	Incidence	All	225	206	245
2001	Incidence	All	225	207	243
2002	Incidence	All	225	208	242
2003	Incidence	All	225	209	241
2004	Incidence	All	225	209	241
2005	Incidence	All	225	210	241
2006	Incidence	All	225	211	239
2007	Incidence	All	225	213	237
2008	Incidence	All	225	210	240
2009	Incidence	All	225	206	245
2010	Incidence	All	225	202	249
2011	Incidence	All	225	200	251
2012	Incidence	All	225	198	252
2013	Incidence	All	224	198	252
2014	Incidence	All	227	200	256
1990	Incidence	HIV+	0	0	0
1991	Incidence	HIV+	0	0	0
1992	Incidence	HIV+	0	0	0
1993	Incidence	HIV+	0	0	0
1994	Incidence	HIV+	0.01	0	0.01
1995	Incidence	HIV+	0.01	0.01	0.01
1996	Incidence	HIV+	0.01	0.01	0.01
1997	Incidence	HIV+	0.02	0.01	0.02
1998	Incidence	HIV+	0.02	0.02	0.03
