Year	type	group	mid	lo	hi
1990	Prevalence	All	453	130	973
1991	Prevalence	All	450	137	945
1992	Prevalence	All	448	141	926
1993	Prevalence	All	443	147	897
1994	Prevalence	All	439	150	879
1995	Prevalence	All	431	149	860
1996	Prevalence	All	426	151	841
1997	Prevalence	All	424	152	832
1998	Prevalence	All	423	153	827
1999	Prevalence	All	419	152	819
2000	Prevalence	All	417	151	815
2001	Prevalence	All	416	152	810
2002	Prevalence	All	411	151	798
2003	Prevalence	All	407	151	788
2004	Prevalence	All	401	149	775
2005	Prevalence	All	395	147	762
2006	Prevalence	All	389	147	746
2007	Prevalence	All	381	145	729
2008	Prevalence	All	370	140	710
2009	Prevalence	All	335	130	634
2010	Prevalence	All	312	121	591
2011	Prevalence	All	310	122	585
2012	Prevalence	All	302	118	571
2013	Prevalence	All	290	113	548
2014	Prevalence	All	282	111	530
1990	Incidence	All	209	79	402
1991	Incidence	All	213	84	401
1992	Incidence	All	216	89	400
1993	Incidence	All	219	93	398
1994	Incidence	All	220	96	395
1995	Incidence	All	220	97	391
1996	Incidence	All	220	99	387
1997	Incidence	All	219	101	383
1998	Incidence	All	219	102	379
1999	Incidence	All	217	103	374
2000	Incidence	All	216	103	369
2001	Incidence	All	214	103	364
2002	Incidence	All	212	103	359
2003	Incidence	All	209	103	353
2004	Incidence	All	206	102	347
2005	Incidence	All	203	100	341
2006	Incidence	All	199	99	335
2007	Incidence	All	196	97	328
2008	Incidence	All	191	95	321
2009	Incidence	All	187	92	315
2010	Incidence	All	183	90	308
2011	Incidence	All	178	87	300
2012	Incidence	All	173	84	293
2013	Incidence	All	168	81	286
2014	Incidence	All	165	80	281
1990	Incidence	HIV+	21	7.5	41
1991	Incidence	HIV+	24	9	46
1992	Incidence	HIV+	27	10	50
1993	Incidence	HIV+	29	12	55
1994	Incidence	HIV+	32	13	59
1995	Incidence	HIV+	34	14	62
1996	Incidence	HIV+	36	15	64
1997	Incidence	HIV+	37	16	66
1998	Incidence	HIV+	38	17	67
1999	Incidence	HIV+	38	17	67
2000	Incidence	HIV+	38	17	66
2001	Incidence	HIV+	37	17	65
2002	Incidence	HIV+	37	17	63
2003	Incidence	HIV+	36	17	61
2004	Incidence	HIV+	34	16	59
2005	Incidence	HIV+	33	16	57
2006	Incidence	HIV+	32	15	54
2007	Incidence	HIV+	30	14	52
