Year	type	group	mid	lo	hi
1990	Prevalence	All	465	415	518
1991	Prevalence	All	466	416	519
1992	Prevalence	All	467	416	520
1993	Prevalence	All	467	417	520
1994	Prevalence	All	467	416	520
1995	Prevalence	All	465	414	519
1996	Prevalence	All	463	412	518
1997	Prevalence	All	459	407	515
1998	Prevalence	All	454	401	511
1999	Prevalence	All	447	393	505
2000	Prevalence	All	438	382	498
2001	Prevalence	All	427	369	490
2002	Prevalence	All	414	353	480
2003	Prevalence	All	399	336	468
2004	Prevalence	All	383	316	456
2005	Prevalence	All	365	295	443
2006	Prevalence	All	347	273	429
2007	Prevalence	All	328	251	415
2008	Prevalence	All	308	228	401
2009	Prevalence	All	289	204	388
2010	Prevalence	All	269	181	374
2011	Prevalence	All	249	168	346
2012	Prevalence	All	230	155	319
2013	Prevalence	All	211	143	294
2014	Prevalence	All	195	131	271
1990	Incidence	All	217	200	235
1991	Incidence	All	216	204	230
1992	Incidence	All	216	205	228
1993	Incidence	All	216	206	226
1994	Incidence	All	216	207	226
1995	Incidence	All	216	207	226
1996	Incidence	All	217	207	226
1997	Incidence	All	217	208	226
1998	Incidence	All	217	207	226
1999	Incidence	All	217	207	226
2000	Incidence	All	216	206	227
2001	Incidence	All	216	207	225
2002	Incidence	All	215	207	224
2003	Incidence	All	214	206	222
2004	Incidence	All	212	204	220
2005	Incidence	All	209	201	217
2006	Incidence	All	205	198	212
2007	Incidence	All	201	195	207
2008	Incidence	All	196	189	203
2009	Incidence	All	191	182	200
2010	Incidence	All	185	175	196
2011	Incidence	All	180	170	191
2012	Incidence	All	176	164	187
2013	Incidence	All	171	160	183
2014	Incidence	All	167	156	179
1990	Incidence	HIV+	0.9	0.72	1.1
1991	Incidence	HIV+	1.5	1.2	1.8
1992	Incidence	HIV+	2.3	1.9	2.9
1993	Incidence	HIV+	3.7	3	4.5
1994	Incidence	HIV+	5.5	4.5	6.7
1995	Incidence	HIV+	7.8	6.3	9.4
1996	Incidence	HIV+	10	8.2	12
1997	Incidence	HIV+	12	10	15
1998	Incidence	HIV+	14	12	17
1999	Incidence	HIV+	16	13	19
2000	Incidence	HIV+	17	14	20
2001	Incidence	HIV+	17	14	21
2002	Incidence	HIV+	17	14	21
2003	Incidence	HIV+	17	14	21
2004	Incidence	HIV+	17	13	20
2005	Incidence	HIV+	16	13	19
2006	Incidence	HIV+	15	12	18
2007	Incidence	HIV+	14	11	17
2008	Incidence	HIV+	13	7.4	21
2009	Incidence	HIV+	12	7.8	17
2010	Incidence	HIV+	11	8.6	14
2011	Incidence	HIV+	10	8.4	12
2012	Incidence	HIV+	9.4	8.1	11
2013	Incidence	HIV+	8.5	7.3	9.7
2014	Incidence	HIV+	8.3	7.4	9.3
1990	Incidence	Notifications	174.4979211	174.4979211	174.4979211
1991	Incidence	Notifications	175.0510661	175.0510661	175.0510661
1992	Incidence	Notifications	123.6809479	123.6809479	123.6809479
1993	Incidence	Notifications	116.9613304	116.9613304	116.9613304
1994	Incidence	Notifications	118.2228964	118.2228964	118.2228964
1995	Incidence	Notifications	126.7785115	126.7785115	126.7785115
1996	Incidence	Notifications	131.763056	131.763056	131.763056
1997	Incidence	Notifications	113.5337157	113.5337157	113.5337157
1998	Incidence	Notifications	108.4217678	108.4217678	108.4217678
1999	Incidence	Notifications	117.7556062	117.7556062	117.7556062
2000	Incidence	Notifications	105.9077405	105.9077405	105.9077405
2001	Incidence	Notifications	101.2302412	101.2302412	101.2302412
2002	Incidence	Notifications	97.31804775	97.31804775	97.31804775
2003	Incidence	Notifications	96.8343071	96.8343071	96.8343071
2004	Incidence	Notifications	100.8667002	100.8667002	100.8667002
2005	Incidence	Notifications	101.0418101	101.0418101	101.0418101
2006	Incidence	Notifications	105.7429969	105.7429969	105.7429969
2007	Incidence	Notifications	109.8549449	109.8549449	109.8549449
2008	Incidence	Notifications	111.2939827	111.2939827	111.2939827
2009	Incidence	Notifications	111.3435051	111.3435051	111.3435051
2010	Incidence	Notifications	108.8450745	108.8450745	108.8450745
2011	Incidence	Notifications	106.1327695	106.1327695	106.1327695
2012	Incidence	Notifications	102.077127	102.077127	102.077127
2013	Incidence	Notifications	97.21813948	97.21813948	97.21813948
2014	Incidence	Notifications	124.2613687	124.2613687	124.2613687
1990	Mortality	HIV-	38	25	54
1991	Mortality	HIV-	38	25	54
1992	Mortality	HIV-	38	25	54
1993	Mortality	HIV-	38	25	54
1994	Mortality	HIV-	38	25	54
1995	Mortality	HIV-	38	25	54
1996	Mortality	HIV-	38	25	54
1997	Mortality	HIV-	38	25	54
1998	Mortality	HIV-	38	25	54
1999	Mortality	HIV-	38	25	54
2000	Mortality	HIV-	38	25	54
2001	Mortality	HIV-	38	25	54
2002	Mortality	HIV-	38	25	54
2003	Mortality	HIV-	38	25	53
2004	Mortality	HIV-	37	24	52
2005	Mortality	HIV-	35	26	46
2006	Mortality	HIV-	34	23	48
2007	Mortality	HIV-	32	21	45
2008	Mortality	HIV-	30	20	43
2009	Mortality	HIV-	28	19	40
2010	Mortality	HIV-	26	17	37
2011	Mortality	HIV-	24	16	33
2012	Mortality	HIV-	21	14	30
2013	Mortality	HIV-	19	12	27
2014	Mortality	HIV-	17	12	27
1990	Mortality	HIV+	0.08	0.06	0.1
1991	Mortality	HIV+	0.13	0.11	0.17
1992	Mortality	HIV+	0.24	0.19	0.29
1993	Mortality	HIV+	0.42	0.34	0.51
1994	Mortality	HIV+	0.68	0.56	0.83
1995	Mortality	HIV+	1.1	0.86	1.3
1996	Mortality	HIV+	1.5	1.2	1.8
1997	Mortality	HIV+	2.1	1.7	2.5
1998	Mortality	HIV+	2.8	2.3	3.3
