Year	type	group	mid	lo	hi
1990	Prevalence	All	466	240	765
1991	Prevalence	All	444	231	726
1992	Prevalence	All	398	208	649
1993	Prevalence	All	350	183	569
1994	Prevalence	All	316	165	515
1995	Prevalence	All	307	162	496
1996	Prevalence	All	324	176	516
1997	Prevalence	All	360	199	566
1998	Prevalence	All	409	231	637
1999	Prevalence	All	469	267	726
2000	Prevalence	All	533	305	824
2001	Prevalence	All	601	342	931
2002	Prevalence	All	667	380	1033
2003	Prevalence	All	728	416	1126
2004	Prevalence	All	775	443	1197
2005	Prevalence	All	811	461	1256
2006	Prevalence	All	829	470	1287
2007	Prevalence	All	831	469	1295
2008	Prevalence	All	825	461	1292
2009	Prevalence	All	808	450	1269
2010	Prevalence	All	789	437	1242
2011	Prevalence	All	713	391	1129
2012	Prevalence	All	705	388	1114
2013	Prevalence	All	706	393	1108
2014	Prevalence	All	696	390	1088
1990	Incidence	All	313	277	352
1991	Incidence	All	309	273	347
1992	Incidence	All	299	264	335
1993	Incidence	All	290	256	326
1994	Incidence	All	289	255	325
1995	Incidence	All	302	267	339
1996	Incidence	All	333	294	374
1997	Incidence	All	379	335	426
1998	Incidence	All	439	388	493
1999	Incidence	All	509	449	571
2000	Incidence	All	585	517	658
2001	Incidence	All	666	588	748
2002	Incidence	All	746	659	838
2003	Incidence	All	820	724	921
2004	Incidence	All	883	780	992
2005	Incidence	All	932	823	1047
2006	Incidence	All	963	851	1081
2007	Incidence	All	977	863	1097
2008	Incidence	All	977	864	1098
2009	Incidence	All	967	854	1086
2010	Incidence	All	948	837	1065
2011	Incidence	All	922	815	1036
2012	Incidence	All	892	788	1002
2013	Incidence	All	860	760	966
2014	Incidence	All	834	737	936
1990	Incidence	HIV+	14	12	16
1991	Incidence	HIV+	28	23	33
1992	Incidence	HIV+	48	40	56
1993	Incidence	HIV+	71	59	83
1994	Incidence	HIV+	95	79	112
1995	Incidence	HIV+	121	101	142
1996	Incidence	HIV+	152	127	179
1997	Incidence	HIV+	190	159	223
1998	Incidence	HIV+	233	195	274
1999	Incidence	HIV+	280	235	330
2000	Incidence	HIV+	332	278	390
2001	Incidence	HIV+	384	322	452
2002	Incidence	HIV+	436	365	513
2003	Incidence	HIV+	484	405	569
2004	Incidence	HIV+	524	439	617
2005	Incidence	HIV+	555	465	653
2006	Incidence	HIV+	576	482	677
2007	Incidence	HIV+	586	491	689
2008	Incidence	HIV+	588	493	692
2009	Incidence	HIV+	583	488	686
2010	Incidence	HIV+	571	479	672
2011	Incidence	HIV+	603	521	691
2012	Incidence	HIV+	570	492	654
2013	Incidence	HIV+	530	459	606
2014	Incidence	HIV+	509	439	584
1990	Incidence	Notifications	218.516917	218.516917	218.516917
1991	Incidence	Notifications	206.0083268	206.0083268	206.0083268
1992	Incidence	Notifications	213.5568371	213.5568371	213.5568371
1993	Incidence	Notifications	226.5978752	226.5978752	226.5978752
1994	Incidence	Notifications	222.6036651	222.6036651	222.6036651
1995	Incidence	Notifications	178.4279311	178.4279311	178.4279311
1996	Incidence	Notifications	259.0462719	259.0462719	259.0462719
1997	Incidence	Notifications	293.458479	293.458479	293.458479
