Year	type	group	mid	lo	hi
1990	Prevalence	All	561	230	1036
1991	Prevalence	All	540	227	986
1992	Prevalence	All	519	220	942
1993	Prevalence	All	495	213	894
1994	Prevalence	All	473	206	851
1995	Prevalence	All	452	199	807
1996	Prevalence	All	429	190	764
1997	Prevalence	All	408	183	721
1998	Prevalence	All	389	176	684
1999	Prevalence	All	370	167	651
2000	Prevalence	All	351	159	617
2001	Prevalence	All	334	152	588
2002	Prevalence	All	321	147	564
2003	Prevalence	All	310	140	546
2004	Prevalence	All	300	136	528
2005	Prevalence	All	287	130	505
2006	Prevalence	All	277	125	488
2007	Prevalence	All	266	120	469
2008	Prevalence	All	255	114	453
2009	Prevalence	All	244	107	438
2010	Prevalence	All	235	102	424
2011	Prevalence	All	226	96	410
2012	Prevalence	All	217	91	398
2013	Prevalence	All	208	87	381
2014	Prevalence	All	198	83	362
1990	Incidence	All	251	211	294
1991	Incidence	All	244	214	277
1992	Incidence	All	238	211	267
1993	Incidence	All	231	208	256
1994	Incidence	All	225	203	249
1995	Incidence	All	219	196	244
1996	Incidence	All	214	191	239
1997	Incidence	All	209	187	233
1998	Incidence	All	205	182	229
1999	Incidence	All	201	176	226
2000	Incidence	All	197	171	224
2001	Incidence	All	192	169	217
2002	Incidence	All	189	168	211
2003	Incidence	All	185	166	204
2004	Incidence	All	181	162	201
2005	Incidence	All	176	159	195
2006	Incidence	All	172	156	189
2007	Incidence	All	168	155	181
2008	Incidence	All	164	149	179
2009	Incidence	All	159	140	180
2010	Incidence	All	155	132	180
2011	Incidence	All	151	127	177
2012	Incidence	All	147	122	176
2013	Incidence	All	144	119	172
2014	Incidence	All	140	116	167
1990	Incidence	HIV+	0.04	0.03	0.04
1991	Incidence	HIV+	0.08	0.06	0.09
1992	Incidence	HIV+	0.16	0.13	0.18
1993	Incidence	HIV+	0.31	0.27	0.36
1994	Incidence	HIV+	0.62	0.53	0.71
1995	Incidence	HIV+	1.2	0.99	1.4
1996	Incidence	HIV+	2.1	1.8	2.4
1997	Incidence	HIV+	3.4	2.9	3.9
1998	Incidence	HIV+	4.8	4.1	5.6
1999	Incidence	HIV+	6.3	5.3	7.4
2000	Incidence	HIV+	7.6	6.3	9
2001	Incidence	HIV+	8.8	7.4	10
2002	Incidence	HIV+	9.7	8.2	11
2003	Incidence	HIV+	11	9	12
2004	Incidence	HIV+	11	9.5	13
2005	Incidence	HIV+	12	9.9	13
2006	Incidence	HIV+	12	10	14
2007	Incidence	HIV+	12	10	14
2008	Incidence	HIV+	12	10	14
2009	Incidence	HIV+	12	10	14
2010	Incidence	HIV+	12	9.8	14
2011	Incidence	HIV+	12	9.7	15
2012	Incidence	HIV+	10	8.3	13
2013	Incidence	HIV+	9	7.2	11
2014	Incidence	HIV+	7.6	6.1	9.2
1990	Incidence	Notifications	73.60107237	73.60107237	73.60107237
1991	Incidence	Notifications	85.80948469	85.80948469	85.80948469
1992	Incidence	Notifications	79.56469617	79.56469617	79.56469617
1993	Incidence	Notifications	73.03575053	73.03575053	73.03575053
1994	Incidence	Notifications	70.02205743	70.02205743	70.02205743
1995	Incidence	Notifications	74.12202095	74.12202095	74.12202095
1996	Incidence	Notifications	97.8204095	97.8204095	97.8204095
1997	Incidence	Notifications	100.4874373	100.4874373	100.4874373
1998	Incidence	Notifications	111.4769061	111.4769061	111.4769061
1999	Incidence	Notifications	111.9386988	111.9386988	111.9386988
